dasid;StandardTitle;Citation;AccessConstraint;AccConNotes
1018;"Antarctic Euphausiacea occurence data from ""German Antarctic Marine Living Resources"" (GAMLR) Expeditions";Siegel, V. Krill occurence data from GAMLR (German Antarctic Marine Living Resources) Expedition;Attribution (CC BY);NULL
1019;Antarctic Euphausiacea occurence data from Norwegian Antarctic Research Expedition 1976-77;Fevolden S (1979) Investigations on krill (Euphausiacea) sampled during the Norwegian Antarctic Research Expedition 1976-77 . Sarsia 64: 189-198;Attribution (CC BY);NULL
1020;Antarctic Euphausiacea occurrence data from Norwegian Antarctic Research Expedition 1979;Fevolden, SE (1980) Krill off Bouvetöya and in the southern Weddell Sea with a description of larval stages of Euphausia crystallorophias. Sarsia 65: 149-162;Attribution (CC BY);NULL
1023;Antarctic Euphausiacea occurrence data from ITALICA 2000 Expedition;"Sala, A.; Azzali, M.; Russo, A, 2000. Krill of the Ross Sea: distribution, abundance and demography of Euphausia superba and Euphausia crystallorophias during the Italian Antarctic Expedition (January-February 2000) Scientia Marina 66: 123-133";Attribution (CC BY);NULL
1025;Antarctic Krill occurrence data from Australian expeditions;A. Atkinson, V. Siegel , E. Pakhomov, P. Rothery (2004): Long-term decline in krill stock and increase in salps within the Southern Ocean. Nature 432: 100-103;Attribution (CC BY);NULL
1026;Antarctic Krill occurrence data from BAS expeditions;A. Atkinson, V. Siegel , E. Pakhomov, P. Rothery (2004): Long-term decline in krill stock and increase in salps within the Southern Ocean. Nature 432: 100-103;Attribution (CC BY);NULL
1027;Antarctic Krill occurrence data from Discovery expeditions;A. Atkinson, V. Siegel , E. Pakhomov, P. Rothery (2004): Long-term decline in krill stock and increase in salps within the Southern Ocean. Nature 432: 100-103;Attribution (CC BY);NULL
1028;"Antarctic Krill occurrence data from Spanish RV ""Fruela""";A. Atkinson, V. Siegel , E. Pakhomov, P. Rothery (2004): Long-term decline in krill stock and increase in salps within the Southern Ocean. Nature 432: 100-103;Attribution (CC BY);NULL
1030;Antarctic Krill occurrence data from Japanese expeditions;A. Atkinson, V. Siegel , E. Pakhomov, P. Rothery (2004): Long-term decline in krill stock and increase in salps within the Southern Ocean. Nature 432: 100-103;Attribution (CC BY);NULL
1032;Antarctic Euphausiacea occurence data from Polish FIBEX expeditions;A. Atkinson, V. Siegel , E. Pakhomov, P. Rothery (2004): Long-term decline in krill stock and increase in salps within the Southern Ocean. Nature 432: 100-103;Attribution (CC BY);NULL
1034;"Antarctic Krill occurrence data from US AMLR ""US Antarctic Marine Living Resources"" Program";A. Atkinson, V. Siegel , E. Pakhomov, P. Rothery (2004): Long-term decline in krill stock and increase in salps within the Southern Ocean. Nature 432: 100-103;Attribution (CC BY);NULL
1035;Antarctic Krill occurrence data from Ukraine YUGNIRO Institute;A. Atkinson, V. Siegel , E. Pakhomov, P. Rothery (2004): Long-term decline in krill stock and increase in salps within the Southern Ocean. Nature 432: 100-103;Attribution (CC BY);NULL
1036;Antarctic Amphipod Crustaceans: Ant'Phipoda Database (BIANZO);De Broyer C., Lowry J.K., Jazdzewski K. & Robert H., 2007. Catalogue of the Gammaridean and Corophiidean Amphipoda (Crustacea) of the Southern Ocean with distribution and ecological data. In: De Broyer, C. (ed.) Census of Antarctic Marine Life. Synopsis of the Amphipoda of the Southern Ocean. /Bulletin de l’Institut Royal des Sciences Naturelles de Belgique, Biologie / 77(Suppl.1, part 1): 1-325.;Attribution (CC BY);NULL
1037;North Sea observations of Crustacea, Polychaeta, Echinodermata, Mollusca and some other groups between 1986 and 2003;Addinck, W. & de Kluijver, M. (2003). North Sea observations of Crustacea, Polychaeta, Echinodermata, Mollusca and some other groups between 1986 and 2003. Expert Centre for Taxonomic Idenditification (ETI), the Netherlands.;Attribution (CC BY);NULL
1038;Cefas10 - Effects of physical disturbance on nematodes communities in sand and mud;Schratzberger, M. (1996). Effects of physical disturbance on nematode communities in sand and mud. Centre for Environment, Fisheries and Aquaculture Science (CEFAS), UK.;Attribution (CC BY);NULL
1039;Thermaikos Gulf: impact of trawling and re-suspension on meiobenthos;Lampadariou, N. (2001). Thermaikos Gulf: impact of trawling and resuspension on meiobenthos. Hellenic Centre for Marine Research (HCMR), Greece.;Restricted;Restrictions available at contact person
1040;MNA (Section of Genoa) - Marine Biological Samples;MNA - Sezione di Genova - (http://www.mna.it/english/Collections/collezioni_set.htm);Attribution (CC BY);NULL
1043;ILVO macrobenthos in soft sediments: macrobenthos monitoring in the Belgian Part of the North Sea since 1979;NULL;Restricted;Release with permission of the appropriate parties
1045;ILVO epifauna and demersal fish data: epifauna and demersal fish monitoring on the Belgian Part of the North Sea since 1979;NULL;Restricted;Data is available through the EMODnet Biology portal: see child datasets below in this record.
1048;TWorsfold CullercoatsBay 2003;Worsfold, T., 2003. Weed rinsings from Cullercoats Bay. Unicomarine.;Attribution (CC BY);
1051;Experiment dataset on diet and growth of <i>Neomysis integer</i> in the Scheldt Estuary;NULL;Restricted;Release with permission of the appropriate parties
1052;Nematodes from the Goban Spur (OMEX) - 1994;Vanaverbeke, J. (1994). Nematodes from the Goban Spur (OMEX) - 1994. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);
1054;Meiofauna from the Goban Spur (OMEX) - 1993;Vanaverbeke, J. (1993). Meiofauna from the Goban Spur (OMEX) - 1993. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);
